Combination, leakage_current_cir, leakage_current_mos, error
011100010,1.42183e-05, 5.043875800000002e-06, 6.452546506966374
011100011,1.55413e-05, 4.758769200000001e-06, 6.93798511064068
011100100,1.45021e-05, 5.0256112000000015e-06, 6.53456313223602
011100101,1.41708e-05, 4.9368911000000004e-06, 6.516152157958619
011100110,1.43777e-05, 4.670730800000001e-06, 6.751406135890997
011100111,1.50266e-05, 4.581329000000001e-06, 6.951187227982377
011101000,1.83212e-05, 5.0308019000000016e-06, 7.254108955745257
011101001,1.8664e-05, 4.746377000000001e-06, 7.456934740677239
011101010,2.01436e-05, 4.680534100000001e-06, 7.676416281101689
011101011,2.1484e-05, 4.4073419e-06, 7.9485468720908585
011101100,1.94783e-05, 4.6688896e-06, 7.603030243912457
011101101,1.9147e-05, 4.5801695000000005e-06, 7.607891836841281
011101110,2.17728e-05, 4.2048800999999996e-06, 8.068746279761905
011101111,2.24754e-05, 4.1638613e-06, 8.14736943502674
011110000,1.49402e-05, 5.120691500000002e-06, 6.57254153224187
011110001,1.5283e-05, 4.8362666e-06, 6.835525354969574
011110010,1.58737e-05, 4.8446163e-06, 6.948023271197012
